Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company_ID,Company,Company_real,Computation,Appearance
Hewlett-Packard OmniGo 100,1995-10-01,1995.75,14,0.000457778,4.81e-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,other,other,other,0.031228373,0.1396920655
Apple Newton MessagePad 120 8MB,1995-11-01,1995.833333,15,0.000946074,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.084825431,0.101716305,other,other,other,0.028085197750000002,0.20854441775000002
Hewlett-Packard 200LX (HP Felix),1996-01-01,1996.0,16,0.000946074,4.81e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421,other,other,other,0.05734529775,0.17233567100000002
Hewlett-Packard OmniGo 700LX Communicator Plus,1996-02-01,1996.083333,17,0.000946074,4.81e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.492496589,0.155737705,0.326491341,0.189109907,0.07262931,0.224886421,other,other,other,0.05734529775,0.22546949587499995
Apple Newton MessagePad 130,1996-03-01,1996.166667,18,0.001190222,0.000130058,0.009548354,0.215827338,0.056910569,0.142857143,0.259481583,0.631967213,0.1533034,0.123182665,0.090517241,0.101716305,other,other,other,0.028146234750000002,0.209255894
U.S. Robotics Palm Pilot 1000,1996-06-01,1996.416667,19,3.05e-05,7.17e-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,other,other,other,0.01653534925,0.10234242350000002
U.S. Robotics Palm Pilot 5000,1996-06-01,1996.416667,20,0.00021363,7.17e-06,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,other,other,other,0.01658113175,0.10234242350000002
Nokia 9000 Communicator,1996-08-01,1996.583333,21,0.001922666,6.45e-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,other,other,other,0.06881823225,0.17224275849999998
Hewlett-Packard OmniGo 120 Organizer Plus,1996-09-01,1996.666667,22,0.000946074,4.81e-05,0.007547442,0.143884892,0.056910569,0.103174603,0.396998636,0.18852459,0.108402822,0.061666274,0.057974138,0.116860172,other,other,other,0.031350447,0.1396920655
Psion Series 3c,1996-09-01,1996.666667,23,0.000946074,1.54e-05,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,other,other,other,0.033582968500000004,0.15774073
Psion Siena,1996-09-01,1996.666667,24,0.000457778,1.54e-05,0.003385544,0.079136691,0.056910569,0.063492063,0.39154161,0.098360656,0.08274535,0.035115517,0.026508621,0.152195861,other,other,other,0.03901364575,0.104226384625
